"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",2745,0.0156648451730419,0.0772313296903461,0.0212099469696309,0.0880667922312648,0.0157435642862208,0.0771867190289182,2745,0.0145719489981785,0.0703096539162113,0.0199571064736655,0.0807274318129319,0.0146798099425573,0.0704034273473759
"AS",112,0.00892857142857143,0.0625,0.0553363256197922,0.127263297778379,0.0128205128205128,0.0666666666666667,112,0,0.0267857142857143,0.0414132596316957,0.0808163112706255,0.00747863247863248,0.0428571428571429
"B6",2049,0.0326988775012201,0.10688140556369,0.0415643845321052,0.121327954740114,0.0322003577817531,0.10603325415677,2048,0.03076171875,0.0888671875,0.0394089069205337,0.102282862339032,0.0303315749811605,0.0884980988593156
"DL",2534,0.00434096290449882,0.0513022888713496,0.00795611138309532,0.0608245583504821,0.00475241453319025,0.0518146718146718,2534,0.00513022888713496,0.0374901341752171,0.00895312955032465,0.045830431225825,0.00551893300628545,0.0383011583011583
"EV",12635,0.0303126236644242,0.118559556786704,0.033518515559258,0.12443374273473,0.0302434265393149,0.118367346938776,12555,0.029231381919554,0.10720828355237,0.0323951063754886,0.112857524519393,0.0291681841934411,0.107065260486877
"F9",2305,0.0112798264642082,0.135791757049892,0.0166819585629031,0.150708736714212,0.0115116376775061,0.13434985175773,2307,0.012136974425661,0.141742522756827,0.0176906606965404,0.156899782995311,0.0123415330366888,0.140160812526449
"OO",611,0.0425531914893617,0.140752864157119,0.062340300710542,0.171329383640838,0.0399300495482367,0.135232383808096,625,0.0304,0.1104,0.0477120147155676,0.138112408699173,0.0291345329905741,0.107488986784141
"UA",19318,0.0134071850088001,0.0865514028367326,0.0151688241265746,0.0906844055259853,0.0134273869191263,0.086518013832972,19310,0.0128430864836872,0.0688762299326774,0.0145706455278436,0.0726121561725113,0.0128654850091823,0.0688939378291852
"VX",1575,0.00444444444444444,0.0685714285714286,0.00948883859051084,0.0824777344096165,0.00509029208580778,0.0687921520539546,1575,0.00634920634920635,0.0380952380952381,0.0119707579013807,0.0490410031342868,0.00690825354502485,0.0393623543838136
"WN",2435,0.0168377823408624,0.0685831622176591,0.02295971880222,0.0795748470191079,0.016891084375747,0.0687274187073465,2435,0.0176591375770021,0.0817248459958932,0.0238999852615921,0.0935471098292786,0.0176878336387539,0.0815736651947009
