"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",32105,0.0116181280174428,0.0577168665316929,0.012878102930314,0.0603760374209908,0.0116344833158277,0.0577469606044588,32107,0.010838757903261,0.0662160899492323,0.0120585500485058,0.0690464652067772,0.0108569333358192,0.0662313838883189
"AS",7533,0.00225673702376211,0.0233638656577725,0.00367610489828212,0.0271150799735113,0.00241844325858942,0.0237448939254184,7533,0.00132749236691889,0.0249568564980751,0.00251063893853098,0.0288202730378479,0.00149838332325649,0.0253261299248913
"B6",4057,0.0103524771999014,0.0712349026374168,0.0140838300159153,0.0797518699355219,0.0105028798218866,0.0712861658157063,4058,0.0167570231641203,0.0633316904879251,0.0213166896242794,0.0714288296577298,0.0167908642214265,0.0634905201750122
"DL",23744,0.00391677897574124,0.0408103099730458,0.00481954518935899,0.0434577376568903,0.00396318935984416,0.040890756302521,23750,0.00349473684210526,0.0384421052631579,0.00435320656060404,0.041017146867913,0.00354246763930628,0.0385281021591196
"F9",1273,0.00392772977219167,0.0754124116260801,0.00961392306099224,0.0916398716433768,0.00474707016763092,0.0753950338600451,1275,0.00235294117647059,0.0713725490196078,0.00739905076245748,0.0872344406673624,0.00325877647755888,0.0715251690458302
"FL",139,0.0143884892086331,0.0503597122302158,0.0555500640401585,0.103553291408826,0.0158730158730159,0.0574358974358974,139,0.00719424460431655,0.0431654676258993,0.0449480579159993,0.0943800234193855,0.0112044817927171,0.0523076923076923
"HA",1707,0.00644405389572349,0.0398359695371998,0.011796408950013,0.0504893827291153,0.00695769273931096,0.0409529211571186,1707,0.0070298769771529,0.0339777387229057,0.0125380691646836,0.0439613558820457,0.0075187969924812,0.0352807714123653
"MQ",715,0.0461538461538462,0.0993006993006993,0.0647295962041489,0.124057472709928,0.0435332827132372,0.0975356679636835,714,0.0448179271708683,0.0882352941176471,0.0632067377795233,0.111946147387569,0.0423213380638621,0.0872727272727273
"NK",1906,0.0173137460650577,0.187303252885624,0.0244624337602788,0.205836697070624,0.0173632142136079,0.184097859327217,1905,0.0152230971128609,0.165354330708661,0.0220244863621279,0.183089747000661,0.0153519846480154,0.162774094849567
"OO",38916,0.00943056840374139,0.0623907904203926,0.0104634169548213,0.0648885582138281,0.00944828576704487,0.0624089089602792,38922,0.0104054262370896,0.0627922511690047,0.0114868466109904,0.0652971264768159,0.0104212610136112,0.0628097901380266
"UA",31334,0.0126061147635157,0.0700517010276377,0.0139318558478965,0.0729912113283822,0.012620506093756,0.0700605288308378,31334,0.0114891172528244,0.0821791025722857,0.0127587010996818,0.0853361516584392,0.0115061829018249,0.0821662949984071
"US",7001,0.00828453078131695,0.0348521639765748,0.0107673724615993,0.0395164955018694,0.00839433594302026,0.0351707524443815,7002,0.00599828620394173,0.051413881748072,0.00816796667759094,0.0569592446927012,0.00613236873339739,0.0516010201190139
"VX",12962,0.00648048140719025,0.0640333281900941,0.00805843168544896,0.0684719460869111,0.00655048630073942,0.0640805039176525,12962,0.00756056164172196,0.0530782286684154,0.00924901480256409,0.0571586241084727,0.00762433651397539,0.0531725303426026
"WN",40173,0.0209842431483832,0.0935205237348468,0.0224636768232061,0.0964667406023784,0.0209798202155624,0.0934947425986229,40173,0.0194907027107759,0.0808005376745575,0.0209195702642331,0.0835621891325227,0.0194890703186726,0.080792463148475
