"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1036,0.0125482625482625,0.0482625482625483,0.0218172148754187,0.0635163718390812
"BWI",2804,0.0231811697574893,0.06169757489301,0.0296204489436012,0.0714458011391452
"CLT",1186,0.0286677908937605,0.0623946037099494,0.0401824314660712,0.0780417172800041
"DCA",24,0,0.0833333333333333,0.168769306267035,0.275117157110364
"DEN",6,0.166666666666667,0.166666666666667,0.589827534923789,0.589827534923789
"DTW",962,0.0135135135135135,0.0488565488565489,0.0234840495945431,0.0648450381489839
"EWR",264,0.113636363636364,0.196969696969697,0.159017906172371,0.250496541828511
"FLL",877,0.0228050171037628,0.080957810718358,0.0354857704146935,0.101435575017109
"IAD",249,0.0321285140562249,0.0803212851405622,0.0640249169500065,0.122386145811587
"MCO",2189,0.0196436729100046,0.0662402923709456,0.0265745750738805,0.0777117656764606
"MDW",982,0.0336048879837067,0.0631364562118126,0.0472822102331199,0.0806004247920868
"MSP",3,0,0,0.627208174095541,0.627208174095541
"ORD",629,0.0508744038155803,0.146263910969793,0.0716341017303148,0.176766406747891
"PBI",32,0,0.03125,0.131909363437364,0.175461799732094
"PHL",171,0.0175438596491228,0.0409356725146199,0.053758773258027,0.0848210165859121
"RSW",49,0.0204081632653061,0.0408163265306122,0.120087413670797,0.148039543218175
"TPA",731,0.0177838577291382,0.0506155950752394,0.0308388010612235,0.0695974318785871
