"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"AA",4113,0.0228543642110382,0.0809628008752735,0.0280218853567965,0.0898919360569488,0.0227782818394537,0.0808827056848165,4113,0.0175054704595186,0.0889861415025529,0.0221154551981601,0.0982783117101614,0.0175254285850723,0.0887982729671384
"B6",2809,0.0217159131363475,0.0950516197935208,0.0279757335163655,0.106716896149495,0.0216351154566258,0.0946596858638743,2809,0.019935920256319,0.0765396938412246,0.0259771425861663,0.0872032227612804,0.0199015324873448,0.0765095986038394
"DL",5613,0.00641368252271513,0.0502405130946018,0.00895265335250132,0.0564075987018984,0.00657501494321578,0.0504850943729053,5612,0.0067712045616536,0.0392017106200998,0.00936680617024282,0.0447301295969094,0.00692783795189197,0.0395553987297107
"EV",3403,0.0326182779900088,0.0978548339700265,0.0393028319779189,0.108529431616594,0.0323155655223966,0.0974848222029488,3405,0.0261380323054332,0.0895741556534508,0.0322154346212111,0.099861456860384,0.0259755186483535,0.089338341519792
"F9",228,0.0043859649122807,0.105263157894737,0.0277656531452472,0.15348974834113,0.0079155672823219,0.0992957746478873,229,0,0.074235807860262,0.0206706514609716,0.117402547384869,0.00460223537146614,0.0743859649122807
"FL",599,0,0.0333889816360601,0.00799955661136996,0.051754751653336,0.00207653515277366,0.0369465648854962,599,0,0.0200333889816361,0.00799955661136996,0.035482476987484,0.00207653515277366,0.0247328244274809
"MQ",4196,0.0879408960915157,0.178979980934223,0.0970909452906975,0.191123601280999,0.086720359617906,0.17761053621825,4196,0.078884652049571,0.151811248808389,0.0876237790261178,0.163226754006294,0.0778235624648811,0.150799623706491
"OO",202,0.0297029702970297,0.108910891089109,0.0657569163587412,0.161211334704867,0.0266955266955267,0.101550387596899,202,0.0297029702970297,0.0940594059405941,0.0657569163587412,0.144104084715027,0.0266955266955267,0.089922480620155
"UA",1112,0.026978417266187,0.113309352517986,0.0386651658308129,0.133772651555014,0.0264487870619946,0.111472602739726,1114,0.0206463195691203,0.118491921005386,0.0312053319110658,0.139284401662861,0.0205179952909519,0.116410256410256
"US",4184,0.017208413001912,0.0537762906309751,0.021741159034417,0.0611998612971288,0.0172332832456799,0.0540566037735849,4184,0.012189292543021,0.0544933078393881,0.0161097887174657,0.061959612277331,0.0123027798647633,0.0547641509433962
"WN",9592,0.0158465387823186,0.0554628857381151,0.0186139419507488,0.06032852556893,0.0158680900364118,0.0555762852404644,9592,0.0134487072560467,0.0630733944954128,0.016020660749261,0.0682253890573317,0.0134889109566369,0.0631426202321725
