"DEST","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail_ac.x","pdelay1hr_ac.x","pfail_bayes.x","pdelay1hr_bayes.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail_ac.y","pdelay1hr_ac.y","pfail_bayes.y","pdelay1hr_bayes.y"
"ALB",5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934,5,0,0,0.499382028649922,0.499382028649922,0.0174563591022444,0.0688524590163934
"ATL",4269,0.00491918482080112,0.0313890840946357,0.00762129979039677,0.0371986037921588,0.00515630035449565,0.0319537572254335,4278,0.00257129499766246,0.0303880317905563,0.00471745630650252,0.0361095997638853,0.0028484792796104,0.0309644670050761
"BDL",404,0.0272277227722772,0.0940594059405941,0.0492531612587782,0.127483001920101,0.0258764607679466,0.0917391304347826,403,0.0272952853598015,0.0595533498759305,0.0493734715313338,0.0881251298723963,0.0259305729820159,0.061437908496732
"BNA",105,0.0380952380952381,0.0761904761904762,0.0987361171839249,0.147040918327517,0.0299667036625971,0.0757763975155279,105,0.0476190476190476,0.0571428571428571,0.111181401731237,0.123351446956722,0.0355160932297447,0.0633540372670807
"BOS",1630,0.0233128834355828,0.098159509202454,0.0321256594078709,0.113929636786284,0.0231057940417546,0.0973902728351127,1630,0.0263803680981595,0.0932515337423313,0.035636704799933,0.10870307945674,0.0260380014074595,0.0926453143534994
"BUF",77,0,0.0649350649350649,0.0591764199999356,0.148860393288017,0.00919842312746386,0.0691729323308271,77,0,0.038961038961039,0.0591764199999356,0.115208748119665,0.00919842312746386,0.0541353383458647
"BWI",1274,0.0156985871271586,0.0627943485086342,0.0244911880522268,0.0778717686510284,0.0158612511117699,0.0633082706766917,1281,0.0109289617486339,0.0889929742388759,0.0186381622905309,0.106261014656334,0.011355257336676,0.0884068810770381
"CLE",637,0.010989010989011,0.0769230769230769,0.0233349912869513,0.100940541263648,0.0117944397641112,0.0767676767676768,636,0.00314465408805031,0.0660377358490566,0.0124804381366803,0.0887536617741602,0.00478065241844769,0.0667630057803468
"CLT",1889,0.00847008999470619,0.0391741662255161,0.0139698061006306,0.049171689954433,0.00885856837389268,0.0402056555269923,1890,0.00423280423280423,0.046031746031746,0.00861026237159466,0.0567155865493092,0.0047832281701608,0.0468653648509764
"CMH",516,0.00387596899224806,0.0658914728682171,0.0153549724701442,0.0914945497208707,0.0057510148849797,0.0667832167832168,514,0.00972762645914397,0.0525291828793774,0.0236595127691814,0.0761862963193438,0.0108621860149355,0.0547368421052632
"CVG",352,0.00284090909090909,0.0511363636363636,0.0181165022507168,0.0805881934571836,0.00561797752808989,0.0544117647058824,352,0.00284090909090909,0.0426136363636364,0.0181165022507168,0.0703564972187969,0.00561797752808989,0.0470588235294118
"DCA",830,0.0192771084337349,0.0602409638554217,0.0316465397051802,0.0790951513733392,0.019222271321255,0.0611738148984199,830,0.0216867469879518,0.0518072289156627,0.0345759899977978,0.0696036398221946,0.0214317277949624,0.0532731376975169
"DEN",370,0,0.0486486486486487,0.0128899848870874,0.0767428732202333,0.00314465408805031,0.052112676056338,371,0.00808625336927224,0.0431266846361186,0.0251792577770366,0.0700776810376452,0.00986104885701479,0.0473067915690866
"DFW",1219,0.0237899917965546,0.0935192780968007,0.0343364627559241,0.11160561091067,0.0234894143099985,0.0927058823529412,1218,0.0147783251231527,0.0853858784893268,0.0236258398004156,0.102846096982587,0.0150015465511908,0.0849293563579278
"DTW",1471,0.00203942895989123,0.0503059143439837,0.0064166438162732,0.0630376049783001,0.00284568619842194,0.0512115258677145,1469,0.00408441116405718,0.0578624914908101,0.00926101282044394,0.0713479089164976,0.00479212537236109,0.0584918032786885
"EWR",1496,0.0207219251336898,0.0655080213903743,0.0295746947133201,0.0795478904410573,0.0206211812627291,0.0658505154639175,1501,0.016655562958028,0.0619586942038641,0.0247831647480582,0.0756600095811236,0.0167491435097069,0.0624277456647399
"GRR",97,0,0.0824742268041237,0.0475275531796318,0.158448509137133,0.00813008130081301,0.0797385620915033,97,0,0.0309278350515464,0.0475275531796318,0.0926736090799659,0.00813008130081301,0.0470588235294118
"HOU",12,0.0833333333333333,0.166666666666667,0.38265618744995,0.46650635094611,0.0275229357798165,0.0911764705882353,12,0,0.0833333333333333,0.290359456941537,0.38265618744995,0.0160550458715596,0.0764705882352941
"HPN",365,0.0273972602739726,0.0575342465753425,0.0509881258352571,0.0875011564081368,0.0258973194002726,0.0598574821852732,364,0.0384615384615385,0.0549450549450549,0.0647395498661663,0.0845002859629693,0.035063752276867,0.0576190476190476
"IAD",159,0.0251572327044025,0.176100628930818,0.0663065573330028,0.244755557713396,0.0230572160546541,0.149767441860465,159,0.0251572327044025,0.163522012578616,0.0663065573330028,0.230866487862208,0.0230572160546541,0.14046511627907
"IAH",644,0.0201863354037267,0.0496894409937888,0.0349626379401809,0.0699874023873677,0.0200222469410456,0.0517142857142857,640,0.009375,0.0734375,0.0211515663176248,0.0969826946781041,0.0103467561521253,0.0735632183908046
"IND",782,0.00639386189258312,0.0690537084398977,0.0156079990522744,0.0895974764423369,0.00746616892207186,0.0694510739856802,782,0.0051150895140665,0.0652173913043478,0.0138425512338063,0.0853190268729884,0.00629958002799813,0.0658711217183771
"JFK",1275,0.0352941176470588,0.122352941176471,0.047268978389523,0.141935608514597,0.0343652792178936,0.120360631104433,1277,0.0258418167580266,0.105716523101018,0.0364320051422672,0.124217190476367,0.0254400236651383,0.104426106526632
"LGA",732,0.0273224043715847,0.165300546448087,0.0424450614227739,0.194623578377029,0.0265113974231913,0.158883248730964,733,0.0150068212824011,0.0804911323328786,0.0273367991816599,0.103066622403615,0.0153427369463004,0.0801013941698352
"MCI",50,0,0.06,0.0884361975176823,0.171482672891691,0.0111821086261981,0.0679245283018868,50,0,0.08,0.0884361975176823,0.196644484324389,0.0111821086261981,0.0773584905660377
"MDW",1226,0.0179445350734095,0.0823817292006525,0.0273999172602889,0.0995360474028937,0.0179833999385183,0.0820592823712949,1228,0.0171009771986971,0.0651465798045603,0.0263812570323366,0.0807611044941987,0.0171884591774095,0.0655763239875389
"MKE",639,0.00625978090766823,0.081377151799687,0.0169145709014262,0.105857344979852,0.00756090730887707,0.080863309352518,631,0.0110935023771791,0.0586370839936609,0.0235548481534415,0.0804730199455077,0.0118946474086661,0.0599708879184862
"MSP",903,0.00221483942414175,0.035437430786268,0.00881055123170417,0.0501005906269017,0.00347577182580249,0.037747653806048,903,0.00221483942414175,0.0398671096345515,0.00881055123170417,0.0552015415489753,0.00347577182580249,0.0419186652763295
"ORD",1675,0.00955223880597015,0.0853731343283582,0.0157472750884816,0.100071345126814,0.00994172094617758,0.0850375505488157,1676,0.0101431980906921,0.0841288782816229,0.0164692622858988,0.0987357211649578,0.0105070808588397,0.0838337182448037
