"CARRIER","n.x","pfail_raw.x","pdelay1hr_raw.x","pfail.x","pdelay1hr.x","n.y","pfail_raw.y","pdelay1hr_raw.y","pfail.y","pdelay1hr.y"
"AA",10918,0.0171276790620993,0.0861879465103499,0.0198000840625356,0.0917144688845873,10917,0.0146560410369149,0.106714298800037,0.0171473615218505,0.112770737869288
"AS",5670,0.00864197530864197,0.0788359788359788,0.0114942760271591,0.0863002979758679,5670,0.00634920634920635,0.0931216931216931,0.00886279066666534,0.101135058679438
"B6",4561,0.013374260030695,0.0784915588686692,0.0172540170836263,0.0868390642292806,4562,0.0212626041209996,0.0977641385357299,0.0259927361714992,0.106921086652893
"DL",9201,0.00608629496793827,0.0409738071948701,0.00795040564692274,0.0453151397601244,9202,0.00489024125190176,0.0609650076070419,0.00659094761973654,0.066150474713691
"F9",1757,0.00284575981787137,0.0927717700626067,0.00697386442423511,0.107585072420196,1755,0.00056980056980057,0.104273504273504,0.00367319290321907,0.119802556495154
"FL",140,0.0142857142857143,0.0285714285714286,0.0551670360328686,0.0749710522452272,140,0,0.0214285714285714,0.033393865215686,0.0652347831631113
"HA",576,0.00694444444444444,0.0538194444444444,0.0187475414862302,0.0761336090168487,577,0.00346620450606586,0.0311958405545927,0.0137456228149373,0.0495507359835559
"OO",25332,0.0366729827885678,0.12411179535765,0.0391100758901626,0.128314769514255,25350,0.0384615384615385,0.144260355029586,0.0409520272037707,0.148730366557172
"UA",50934,0.0133506105941022,0.0790434680174343,0.0144073075161159,0.0814678824688816,50894,0.0140488073250285,0.0958462687153692,0.0151317373569325,0.0984881038495962
"US",5485,0.0089334548769371,0.0340929808568824,0.011881280521986,0.0393546983096109,5484,0.012035010940919,0.0882567469000729,0.0153771734569592,0.0962269123479344
"VX",16841,0.00617540526097025,0.057835045424856,0.00751121229161988,0.0615402128233368,16837,0.0092653085466532,0.0998990318940429,0.0108676090526139,0.104617402303842
"WN",15659,0.0364646529152564,0.132830959831407,0.0395831561394993,0.138350027723643,15659,0.0364646529152564,0.158119931030079,0.0395831561394993,0.164039116134839
