"DEST","n","pfail_raw","pdelay1hr_raw","pfail","pdelay1hr"
"ATL",1711,0.0075978959672706,0.0303915838690824,0.0132431590712658,0.0399205291378629
"BDL",470,0.0148936170212766,0.0808510638297872,0.0315248206486537,0.109923272754222
"BOS",1150,0.0182608695652174,0.0895652173913044,0.0281590968912267,0.107919689577364
"BWI",656,0.00609756097560976,0.0426829268292683,0.0164797887217359,0.0616705924548335
"CLE",41,0,0.0975609756097561,0.105885752158008,0.234682260008812
"CLT",723,0.004149377593361,0.0525587828492393,0.0130078826508828,0.0719342595348281
"DCA",365,0.010958904109589,0.0794520547945206,0.0294281494506592,0.112892998375292
"DFW",610,0.00655737704918033,0.0344262295081967,0.0177117008790543,0.0527855048720039
"DTW",26,0.0384615384615385,0.115384615384615,0.209544511501033,0.302749430154621
"EWR",1174,0.0153321976149915,0.0800681431005111,0.0245059586299978,0.0974367369109699
"FLL",2787,0.00932902762827413,0.0513096519555077,0.0138050110252185,0.0603544436577605
"HOU",23,0.0434782608695652,0.0869565217391304,0.232073567544848,0.284882697331985
"IAD",164,0.00609756097560976,0.0731707317073171,0.038291861973976,0.12598052630993
"IAH",463,0.0129589632829374,0.0691144708423326,0.0291395979305195,0.0968508755665214
"JAX",64,0,0.015625,0.0703900321187786,0.0939239071643072
"JFK",4813,0.0178682734261375,0.0741741117805942,0.0221277762409139,0.082095734544533
"MCO",3596,0.00472747497219132,0.0528364849833148,0.00769298948681103,0.0608232442428234
"MIA",2479,0.00322710770471964,0.0475998386446148,0.00656939458640696,0.0569363402228757
"MSP",44,0,0.0227272727272727,0.0993515546035977,0.132377124296868
"ORD",1103,0.0108794197642792,0.0779691749773345,0.0193639062705883,0.0957547442184955
"PHL",1074,0.00651769087523277,0.0651769087523277,0.0138913739533114,0.0819981770356007
"TPA",1196,0.00668896321070234,0.0652173913043478,0.0135817898965809,0.0810683126631286
